Warehouse_block,Mode_of_Shipment,Product_importance,Weight_in_gms,Cost_of_the_Product,Discount_offered,Reached.on.Time_Y.N
B,Flight,medium,1844,146,24,1
C,Flight,low,1490,135,56,1
F,Flight,low,1062,149,40,1
D,Flight,medium,2551,220,7,1
F,Flight,medium,1269,98,44,1
A,Flight,low,1238,97,32,1
B,Flight,low,3932,183,53,1
C,Ship,medium,1869,162,8,1
F,Ship,low,1443,114,47,1
D,Ship,low,2491,275,41,1
F,Ship,medium,3845,203,39,1
A,Ship,high,3671,205,65,1
B,Ship,low,1946,149,63,1
C,Ship,medium,1138,112,56,1
F,Ship,medium,3482,207,56,1
D,Ship,low,3427,261,58,1
F,Ship,medium,3375,274,6,1
A,Ship,low,1692,141,52,1
B,Ship,medium,1498,166,17,1
C,Ship,high,1020,141,34,1
F,Ship,low,1709,152,43,1
D,Ship,low,2478,250,53,1
F,Ship,medium,1809,161,28,1
A,Ship,medium,2263,185,10,1
B,Ship,high,1096,176,52,1
C,Ship,low,1550,148,56,1
F,Ship,low,2751,270,63,1
D,Ship,low,3935,242,51,1
F,Ship,medium,1285,150,3,1
A,Ship,high,3872,192,20,1
B,Ship,medium,1314,116,54,1
C,Ship,medium,3995,192,2,1
F,Ship,medium,3440,255,3,1
D,Ship,medium,1294,161,18,1
F,Ship,low,1487,157,20,1
A,Ship,high,1940,164,28,1
B,Ship,medium,1052,162,16,1
C,Ship,low,1486,146,50,1
F,Ship,medium,3001,209,54,1
D,Ship,medium,1386,134,55,1
F,Ship,medium,3778,222,5,1
A,Ship,low,1233,139,27,1
B,Ship,low,1415,134,42,1
C,Ship,low,1092,130,16,1
F,Ship,low,1596,133,62,1
D,Ship,low,1411,140,7,1
F,Ship,low,1968,158,28,1
A,Ship,low,1736,270,46,1
B,Ship,low,1030,140,30,1
C,Ship,low,1339,135,15,1
F,Ship,low,1568,136,19,1
D,Ship,medium,7640,142,38,1
F,Ship,medium,7846,154,38,1
A,Ship,low,1471,139,9,1
B,Ship,low,1251,160,43,1
C,Ship,low,1067,134,58,1
F,Ship,high,1883,161,48,1
D,Ship,low,1602,155,23,1
F,Ship,medium,7588,145,24,1
A,Ship,low,1477,157,1,1
B,Ship,low,1691,160,48,1
C,Ship,low,1498,152,55,1
F,Ship,high,1502,148,11,1
D,Ship,low,1522,127,15,1
F,Ship,low,1113,154,21,1
A,Ship,low,1341,127,44,1
B,Ship,medium,7401,160,31,1
C,Ship,low,1219,129,48,1
F,Ship,low,1722,158,40,1
D,Ship,medium,3131,185,3,1
F,Ship,high,1293,176,63,1
A,Ship,low,1523,148,37,1
B,Ship,low,3885,270,60,1
C,Ship,low,2381,242,29,1
F,Ship,medium,1588,150,31,1
D,Ship,high,2061,192,4,1
F,Ship,medium,1314,116,9,1
A,Ship,medium,3331,192,31,1
B,Ship,medium,2771,255,38,1
C,Ship,medium,1496,161,63,1
F,Ship,low,1393,157,48,1
D,Ship,high,1375,164,14,1
F,Ship,medium,1278,162,42,1
A,Ship,low,1528,146,54,1
B,Ship,medium,2240,209,60,1
C,Ship,medium,1088,134,53,1
F,Ship,medium,3626,222,58,1
D,Ship,low,1582,139,39,1
F,Ship,low,1352,134,38,1
A,Ship,low,1801,130,48,1
B,Ship,low,1268,133,5,1
C,Ship,low,1372,140,23,1
F,Ship,low,1515,158,10,1
D,Ship,low,1818,270,65,1
F,Ship,low,1278,140,33,1
A,Ship,low,1734,135,58,1
B,Ship,low,1958,136,43,1
C,Ship,medium,6064,142,8,1
F,Ship,medium,7684,154,48,1
D,Ship,low,1788,139,3,1
F,Road,low,1030,160,50,1
A,Road,low,1530,134,38,1
B,Road,high,1511,161,54,1
C,Road,low,1639,155,45,1
F,Road,medium,6102,145,5,1
D,Road,low,1930,157,58,1
F,Road,low,1399,160,19,1
A,Road,low,1800,152,61,1
B,Road,high,1349,148,35,1
C,Road,low,1128,127,13,1
F,Road,medium,6614,129,22,1
D,Road,low,1245,158,13,1
F,Road,low,1920,147,5,1
A,Road,low,1621,159,49,1
B,Road,low,1930,151,23,1
C,Road,low,1089,294,52,1
F,Road,medium,1446,226,45,1
D,Road,high,1813,271,9,1
F,Road,medium,1856,203,61,1
A,Road,low,1648,264,10,1
B,Road,medium,2211,258,36,1
C,Road,low,3078,241,21,1
F,Flight,medium,2056,208,23,1
D,Flight,medium,3054,209,12,1
F,Flight,medium,2707,182,23,1
A,Flight,medium,1087,148,43,1
B,Flight,medium,3199,183,52,1
C,Flight,medium,2717,229,22,1
F,Flight,low,1692,115,26,1
D,Flight,low,1962,136,65,1
F,Flight,low,3307,212,21,1
A,Flight,low,1304,171,24,1
B,Flight,low,1925,151,60,1
C,Flight,medium,3062,205,39,1
F,Flight,medium,1132,147,23,1
D,Flight,low,1712,155,29,1
F,Flight,low,1150,165,20,1
A,Flight,low,3249,230,32,1
B,Flight,medium,2309,181,13,1
C,Flight,low,3308,234,55,1
F,Flight,low,1977,149,34,1
D,Flight,low,1561,156,44,1
F,Flight,medium,1858,172,59,1
A,Flight,low,3279,270,12,1
B,Ship,medium,3807,206,23,1
C,Ship,medium,3106,211,40,1
F,Ship,low,1090,136,62,1
D,Ship,high,3981,186,52,1
F,Ship,medium,3398,202,62,1
A,Ship,medium,3646,183,12,1
B,Ship,low,2861,232,36,1
C,Ship,medium,1129,147,52,1
F,Ship,medium,1531,136,20,1
D,Ship,low,1446,127,43,1
F,Ship,medium,3695,202,35,1
A,Ship,low,3671,241,57,1
B,Ship,medium,3833,222,55,1
C,Ship,medium,2777,183,12,1
F,Ship,medium,3769,249,36,1
D,Ship,high,3838,243,59,1
F,Ship,medium,1257,163,9,1
A,Ship,high,1596,165,11,1
B,Ship,medium,3089,266,53,1
C,Ship,medium,3909,193,48,1
F,Ship,low,1136,154,56,1
D,Ship,medium,1046,140,51,1
F,Ship,medium,3705,272,38,1
A,Ship,medium,1654,143,20,1
B,Ship,low,1805,138,30,1
C,Ship,high,3358,238,17,1
F,Ship,medium,2373,273,31,1
D,Ship,medium,2551,200,27,1
F,Ship,low,2381,213,39,1
A,Ship,medium,2701,224,15,1
B,Ship,medium,1672,141,12,1
C,Ship,low,1040,150,46,1
F,Ship,low,2818,192,33,1
D,Ship,medium,3440,279,24,1
F,Ship,medium,3748,246,30,1
A,Ship,medium,1587,173,52,1
B,Ship,medium,2358,233,59,1
C,Ship,medium,2423,274,24,1
F,Ship,medium,2782,243,41,1
D,Ship,medium,3427,197,56,1
F,Ship,high,1072,140,46,1
A,Ship,medium,2585,215,22,1
B,Ship,medium,3710,211,8,1
C,Ship,low,2854,220,33,1
F,Ship,low,2026,194,64,1
D,Ship,medium,3599,262,58,1
F,Ship,low,3147,201,1,1
A,Ship,medium,2989,261,15,1
B,Ship,low,3425,191,60,1
C,Ship,medium,3775,255,53,1
F,Ship,high,1698,169,30,1
D,Ship,medium,1918,162,64,1
F,Ship,low,2750,248,62,1
A,Ship,low,2222,197,2,1
B,Ship,low,2882,264,6,1
C,Ship,medium,2791,260,55,1
F,Ship,medium,2259,186,58,1
D,Ship,low,2551,233,44,1
F,Ship,low,1954,161,47,1
A,Ship,low,2409,188,13,1
B,Ship,medium,1695,171,22,1
C,Ship,medium,2481,267,15,1
F,Ship,high,2956,255,47,1
D,Ship,low,1303,132,56,1
F,Ship,low,3157,266,31,1
A,Ship,low,2774,198,25,1
B,Ship,medium,3127,247,62,1
C,Ship,medium,1291,140,65,1
F,Ship,low,1659,131,6,1
D,Ship,medium,3236,246,49,1
F,Ship,medium,1681,159,4,1
A,Ship,medium,3642,203,61,1
B,Ship,high,3141,187,29,1
C,Ship,low,1936,146,62,1
F,Ship,medium,2099,234,39,1
D,Ship,high,1354,122,15,1
F,Ship,low,1074,135,8,1
A,Ship,low,1403,103,3,1
B,Ship,medium,2173,257,19,1
C,Ship,low,1399,169,2,1
F,Ship,medium,1808,159,18,1
D,Ship,low,3031,188,38,1
F,Ship,medium,1420,136,19,1
A,Ship,low,3007,227,19,1
B,Ship,low,3275,262,53,1
C,Ship,low,1965,157,45,1
F,Ship,medium,2053,238,21,1
D,Ship,low,1282,152,43,1
F,Ship,medium,2040,201,5,1
A,Ship,low,1778,148,54,1
B,Ship,low,2885,199,59,1
C,Ship,low,3501,215,45,1
F,Ship,low,1270,175,40,1
D,Road,high,3123,236,23,1
F,Road,medium,2896,182,57,1
A,Road,medium,3698,251,42,1
B,Road,low,1855,173,7,1
C,Road,low,2587,225,62,1
F,Road,low,1705,167,20,1
D,Road,low,2154,259,20,1
F,Road,medium,1573,178,63,1
A,Road,medium,1614,178,13,1
B,Road,low,1765,169,20,1
C,Road,low,2321,272,33,1
F,Road,low,3251,183,29,1
D,Road,low,2728,205,10,1
F,Road,low,1036,123,53,1
A,Road,low,1453,152,58,1
B,Road,high,3773,220,40,1
C,Road,low,1965,134,51,1
F,Road,high,2992,217,19,1
D,Road,low,2791,265,49,1
F,Road,medium,3836,249,36,1
A,Road,medium,2003,213,50,1
B,Road,low,1494,124,56,1
C,Flight,low,1193,180,23,1
F,Flight,medium,2267,193,65,1
D,Flight,medium,3339,192,43,1
F,Flight,medium,1832,166,3,1
A,Flight,medium,3861,264,5,1
B,Flight,medium,3528,200,14,1
C,Flight,medium,1396,142,12,1
F,Flight,low,3066,215,32,1
D,Flight,low,2745,218,15,1
F,Flight,low,1814,115,27,1
A,Flight,low,1330,159,33,1
B,Flight,low,1218,133,63,1
C,Flight,low,1517,178,48,1
F,Flight,low,1714,134,43,1
D,Flight,medium,2544,184,58,1
F,Flight,medium,2405,251,24,1
A,Flight,low,1933,141,7,1
B,Flight,medium,3776,229,45,1
C,Flight,low,3813,203,34,1
F,Flight,medium,1911,158,57,1
D,Flight,medium,1755,167,52,1
F,Flight,low,3303,197,40,1
A,Ship,low,1806,140,19,1
B,Ship,medium,3569,205,27,1
C,Ship,low,2018,208,45,1
F,Ship,low,1294,96,22,1
D,Ship,low,2064,205,44,1
F,Ship,medium,2953,215,48,1
A,Ship,low,2643,216,43,1
B,Ship,high,1846,112,22,1
C,Ship,low,3632,222,20,1
F,Ship,medium,2153,186,15,1
D,Ship,medium,2841,241,48,1
F,Ship,low,1269,172,58,1
A,Ship,high,2426,251,23,1
B,Ship,high,2628,190,45,1
C,Ship,medium,2805,186,48,1
F,Ship,medium,2596,207,35,1
D,Ship,low,1366,135,19,1
F,Ship,medium,2955,189,18,1
A,Ship,medium,1691,173,51,1
B,Ship,medium,2169,194,3,1
C,Ship,low,3018,183,19,1
F,Ship,low,1248,140,22,1
D,Ship,medium,2782,244,55,1
F,Ship,low,3355,189,34,1
A,Ship,medium,1390,157,53,1
B,Ship,medium,2726,275,23,1
C,Ship,low,1467,133,53,1
F,Ship,medium,1178,149,54,1
D,Ship,high,3153,254,17,1
F,Ship,low,1429,145,15,1
A,Ship,low,1991,179,52,1
B,Ship,low,1526,168,26,1
C,Ship,medium,3940,202,18,1
F,Ship,low,2620,220,43,1
D,Ship,low,2703,244,1,1
F,Ship,medium,3111,186,40,1
A,Ship,medium,3139,263,24,1
B,Ship,low,1318,294,15,1
C,Ship,medium,1043,226,2,1
F,Ship,medium,1175,173,2,1
D,Ship,medium,2277,194,10,1
F,Ship,low,3459,183,2,1
A,Ship,low,1770,140,61,1
B,Ship,medium,3318,244,8,1
C,Ship,low,3413,189,9,1
F,Ship,medium,1525,157,39,1
D,Ship,medium,2093,275,10,1
F,Ship,low,1092,133,59,1
A,Ship,medium,1863,149,26,1
B,Ship,high,3973,254,41,1
C,Ship,low,1594,145,24,1
F,Ship,low,1113,179,56,1
D,Ship,low,1317,168,13,1
F,Ship,medium,3181,202,46,1
A,Ship,low,2141,220,25,1
B,Ship,low,3562,244,50,1
C,Ship,medium,2062,186,30,1
F,Ship,medium,2236,263,9,1
D,Ship,low,1498,294,25,1
F,Ship,low,1811,139,56,1
A,Ship,low,1550,192,46,1
B,Ship,low,3065,235,5,1
C,Ship,low,1996,176,15,1
F,Ship,low,2627,224,34,1
D,Ship,medium,1524,128,51,1
F,Ship,low,2240,226,47,1
A,Ship,medium,1526,160,16,1
B,Ship,low,2224,197,45,1
C,Ship,low,2273,216,12,1
F,Ship,low,3075,199,9,1
D,Ship,low,3957,271,27,1
F,Ship,low,2657,201,47,1
A,Ship,low,2021,212,33,1
B,Ship,low,1641,177,10,1
C,Ship,medium,2903,191,43,1
F,Ship,low,1986,174,30,1
D,Ship,low,1045,162,14,1
F,Ship,low,2696,219,39,1
A,Ship,medium,1421,155,35,1
B,Ship,medium,2923,230,3,1
C,Ship,medium,2497,192,36,1
F,Ship,low,2984,235,14,1
D,Ship,low,3642,200,46,1
F,Ship,medium,1667,172,65,1
A,Ship,low,1603,160,6,1
B,Ship,low,2722,250,12,1
C,Ship,low,1682,174,9,1
F,Ship,high,3608,204,54,1
D,Ship,medium,3476,274,51,1
F,Ship,medium,3744,262,62,1
A,Ship,medium,1785,138,23,1
B,Ship,medium,3873,215,2,1
C,Ship,low,1773,145,34,1
F,Road,medium,1141,149,56,1
D,Road,medium,2359,212,38,1
F,Road,medium,1193,155,47,1
A,Road,low,1238,154,40,1
B,Road,medium,2173,249,51,1
C,Road,low,3490,206,2,1
F,Road,medium,2015,235,22,1
D,Road,medium,3257,261,8,1
F,Road,high,3537,243,22,1
A,Road,high,3103,237,26,1
B,Road,low,1900,179,19,1
C,Road,low,3498,192,43,1
F,Road,medium,1838,141,39,1
D,Road,low,2188,245,61,1
F,Road,medium,1774,177,32,1
A,Road,high,1897,154,17,1
B,Road,medium,3359,228,12,1
C,Road,high,3702,207,24,1
F,Road,medium,2701,266,33,1
D,Road,medium,1707,172,42,1
F,Road,low,1512,142,35,1
A,Road,low,3200,218,40,1
B,Flight,low,2962,231,46,1
C,Flight,low,1434,180,47,1
F,Flight,low,1886,168,46,1
D,Flight,high,1642,147,42,1
F,Flight,low,3592,245,6,1
A,Flight,medium,3792,182,47,1
B,Flight,medium,1567,176,8,1
C,Flight,medium,2917,197,51,1
F,Flight,medium,3519,233,52,1
D,Flight,low,1145,156,8,1
F,Flight,medium,2073,257,52,1
A,Flight,low,3373,250,11,1
B,Flight,low,3301,189,3,1
C,Flight,high,3311,255,7,1
F,Flight,medium,3514,198,28,1
D,Flight,medium,1489,164,15,1
F,Flight,medium,3785,271,32,1
A,Flight,medium,3299,185,34,1
B,Flight,high,1764,157,17,1
C,Flight,medium,1673,137,17,1
F,Flight,low,2164,229,14,1
D,Flight,medium,2449,234,39,1
F,Ship,low,3578,216,52,1
A,Ship,low,1940,163,20,1
B,Ship,low,2526,268,19,1
C,Ship,medium,2988,205,35,1
F,Ship,medium,2969,265,18,1
D,Ship,medium,3416,236,3,1
F,Ship,low,1901,132,63,1
A,Ship,medium,3108,234,46,1
B,Ship,low,1745,108,22,1
C,Ship,low,3706,276,54,1
F,Ship,low,1063,179,1,1
D,Ship,medium,2225,230,40,1
F,Ship,medium,2096,210,43,1
A,Ship,low,1992,173,15,1
B,Ship,medium,3894,201,29,1
C,Ship,low,3342,214,21,1
F,Ship,medium,3024,216,22,1
D,Ship,medium,1313,144,61,1
F,Ship,medium,3039,182,27,1
A,Ship,medium,1369,163,48,1
B,Ship,medium,2334,234,8,1
C,Ship,high,1307,158,59,1
F,Ship,medium,3496,194,4,1
D,Ship,medium,2497,201,3,1
F,Ship,medium,1933,178,59,1
A,Ship,medium,2669,214,51,1
B,Ship,medium,3047,281,55,1
C,Ship,medium,2176,260,2,1
F,Ship,medium,3174,200,46,1
D,Ship,high,2581,209,49,1
F,Ship,low,3280,185,61,1
A,Ship,low,2236,230,62,1
B,Ship,medium,1540,134,31,1
C,Ship,low,2821,270,34,1
F,Ship,medium,1464,140,1,1
D,Ship,medium,1367,133,32,1
F,Ship,medium,1218,145,44,1
A,Ship,medium,2135,206,58,1
B,Ship,low,1125,162,52,1
C,Ship,low,3665,187,58,1
F,Ship,low,1203,166,54,1
D,Ship,low,1819,178,48,1
F,Ship,high,1967,167,34,1
A,Ship,high,3145,224,60,1
B,Ship,medium,1224,158,11,1
C,Ship,medium,1198,134,43,1
F,Ship,medium,1387,147,20,1
D,Ship,low,2207,187,61,1
F,Ship,medium,2404,247,18,1
A,Ship,high,2212,182,20,1
B,Ship,medium,1049,177,33,1
C,Ship,high,1066,143,18,1
F,Ship,medium,3231,245,8,1
D,Ship,medium,1834,133,64,1
F,Ship,low,3891,224,13,1
A,Ship,low,3859,265,50,1
B,Ship,low,1528,138,28,1
C,Ship,low,3788,253,6,1
F,Ship,medium,1293,165,51,1
D,Ship,low,3578,265,65,1
F,Ship,high,3142,238,54,1
A,Ship,low,3402,236,51,1
B,Ship,high,3022,190,38,1
C,Ship,medium,1442,104,23,1
F,Ship,low,2616,245,19,1
D,Ship,medium,1022,155,27,1
F,Ship,low,2143,233,63,1
A,Ship,low,1539,171,55,1
B,Ship,low,1491,164,56,1
C,Ship,low,1361,141,6,1
F,Ship,low,2118,266,61,1
D,Ship,low,3765,192,56,1
F,Ship,medium,2298,229,61,1
A,Ship,medium,3171,269,38,1
B,Ship,low,2939,247,59,1
C,Ship,low,1087,157,2,1
F,Ship,medium,1280,148,64,1
D,Ship,low,2437,240,14,1
F,Ship,medium,3617,197,58,1
A,Ship,low,1734,121,23,1
B,Ship,high,1107,124,60,1
C,Ship,medium,1185,153,53,1
F,Ship,high,1622,105,1,1
D,Ship,medium,3962,202,2,1
F,Ship,low,1635,162,54,1
A,Ship,medium,1158,164,13,1
B,Ship,medium,3370,231,48,1
C,Ship,medium,2933,209,12,1
F,Ship,high,1898,157,19,1
D,Ship,low,2725,249,4,1
F,Ship,low,2896,264,63,1
A,Ship,low,1844,111,61,1
B,Ship,medium,3606,242,10,1
C,Road,low,1058,169,23,1
F,Road,low,1056,138,13,1
D,Road,low,1483,158,9,1
F,Road,low,1718,146,5,1
A,Road,medium,2995,218,36,1
B,Road,medium,1247,178,22,1
C,Road,low,3784,197,34,1
F,Road,medium,3230,243,17,1
D,Road,high,2608,254,37,1
F,Road,low,2782,237,33,1
A,Road,low,1945,179,62,1
B,Road,medium,2108,189,38,1
C,Road,medium,3982,244,1,1
F,Road,medium,3594,266,46,1
D,Road,high,2538,263,10,1
F,Road,medium,3189,247,39,1
A,Road,low,2616,202,6,1
B,Road,medium,2761,227,1,1
C,Road,low,2457,189,15,1
F,Road,low,1689,160,31,1
D,Road,medium,1618,117,56,1
F,Road,high,2312,202,52,1
A,Flight,medium,2487,201,54,1
B,Flight,medium,2651,273,39,1
C,Flight,medium,1038,143,58,1
F,Flight,high,1262,137,29,1
D,Flight,high,3455,236,34,1
F,Flight,low,3844,241,17,1
A,Flight,low,3625,187,6,1
B,Flight,high,3516,273,63,1
C,Flight,low,1314,170,15,1
F,Flight,low,1266,138,37,1
D,Flight,low,1034,150,60,1
F,Flight,high,1384,140,42,1
A,Flight,low,3544,250,17,1
B,Flight,medium,2182,207,19,1
C,Flight,low,2684,214,36,1
F,Flight,low,1215,179,63,1
D,Flight,medium,1110,149,20,1
F,Flight,low,1422,151,16,1
A,Flight,medium,2376,264,23,1
B,Flight,high,1037,113,31,1
C,Flight,medium,2536,281,36,1
F,Flight,medium,3730,197,43,1
D,Ship,low,3299,265,35,1
F,Ship,low,3764,259,47,1
A,Ship,low,3806,200,18,1
B,Ship,high,1787,111,60,1
C,Ship,medium,3670,223,53,1
F,Ship,low,2713,241,5,1
D,Ship,low,1152,139,25,1
F,Ship,low,1372,192,38,1
A,Ship,medium,1527,117,23,1
B,Ship,high,3120,202,21,1
C,Ship,medium,2066,201,39,1
F,Ship,medium,2466,273,16,1
D,Ship,medium,1910,143,64,1
F,Ship,high,1391,137,15,1
A,Ship,high,3519,236,47,1
B,Ship,low,2935,241,39,1
C,Ship,low,3218,187,44,1
F,Ship,high,3462,273,43,1
D,Ship,low,1018,170,12,1
F,Ship,low,1648,138,54,1
A,Ship,low,1682,150,2,1
B,Ship,high,1332,140,56,1
C,Ship,low,2878,250,46,1
F,Ship,medium,2670,207,46,1
D,Ship,low,2574,214,18,1
F,Ship,low,1903,179,45,1
A,Ship,medium,1068,149,48,1
B,Ship,low,1748,151,4,1
C,Ship,medium,2245,264,16,1
F,Ship,high,1402,113,35,1
D,Ship,medium,2135,281,11,1
F,Ship,medium,2065,197,22,1
A,Ship,low,3622,265,2,1
B,Ship,low,2427,259,39,1
C,Ship,low,2741,200,9,1
F,Ship,high,1920,111,10,1
D,Ship,medium,2127,223,6,1
F,Ship,low,3030,241,22,1
A,Ship,low,1277,139,65,1
B,Ship,low,1694,192,33,1
C,Ship,medium,1481,180,59,1
F,Ship,low,1089,153,35,1
D,Ship,low,1463,280,48,1
F,Ship,medium,1100,243,28,1
A,Ship,low,3881,214,50,1
B,Ship,low,1112,177,6,1
C,Ship,medium,3828,182,39,1
F,Ship,medium,2824,185,17,1
D,Ship,medium,1281,143,23,1
F,Ship,medium,1901,162,7,1
A,Ship,low,1999,171,34,1
B,Ship,low,2589,227,14,1
C,Ship,low,2232,205,25,1
F,Ship,low,3033,258,17,1
D,Ship,medium,3537,195,10,1
F,Ship,low,3638,224,8,1
A,Ship,low,2673,192,41,1
B,Ship,medium,3986,202,35,1
C,Ship,medium,3358,235,12,1
F,Ship,low,3818,218,22,1
D,Ship,medium,1262,176,31,1
F,Ship,medium,3120,221,26,1
A,Ship,low,1370,157,32,1
B,Ship,low,2495,259,13,1
C,Ship,low,2534,249,11,1
F,Ship,low,2292,263,62,1
D,Ship,low,1915,141,2,1
F,Ship,medium,1240,114,9,1
A,Ship,low,1004,179,44,1
B,Ship,medium,1584,179,40,1
C,Ship,low,3523,193,47,1
F,Ship,medium,1246,137,23,1
D,Ship,low,1875,110,55,1
F,Ship,medium,3582,270,61,1
A,Ship,medium,1110,175,64,1
B,Ship,low,2372,234,12,1
C,Ship,medium,1113,177,48,1
F,Ship,low,1442,153,24,1
D,Ship,low,2332,252,16,1
F,Ship,low,1213,122,32,1
A,Ship,medium,2258,215,34,1
B,Ship,low,1207,140,47,1
C,Ship,low,2237,209,43,1
F,Ship,high,1500,144,40,1
D,Ship,low,2046,210,16,1
F,Ship,medium,1693,160,22,1
A,Ship,low,1549,134,20,1
B,Ship,medium,1159,138,34,1
C,Ship,medium,3485,200,65,1
F,Ship,medium,1161,133,30,1
D,Ship,low,1788,121,32,1
F,Ship,medium,2489,257,5,1
A,Ship,low,3099,255,14,1
B,Road,low,1061,158,32,1
C,Road,low,2322,248,49,1
F,Road,medium,3795,194,65,1
D,Road,medium,2774,184,19,1
F,Road,medium,2797,249,38,1
A,Road,medium,1278,170,36,1
B,Road,medium,3398,261,1,1
